user_id,place_id,rating
1,32,5
1,33,4.8
2,29,4.6
2,15,4.8
3,16,4.7
3,210,4.7
4,28,4.6
4,97,4.7
5,99,5
5,250,4.6
6,242,4.7
6,227,4.4
7,219,4.8
7,160,4.6
8,248,4.5
8,36,4.3
9,279,4.6
9,65,4.5
10,246,4.7
10,4,4.4
11,53,4.4
11,251,4.9
12,258,5
12,243,4.9
13,5,4.5
13,22,5
14,196,5
14,30,4.7
15,148,5
15,256,4.5
16,176,4.6
16,8,4.7
17,228,4.6
17,181,4.8
18,107,4.9
18,154,4.6
19,61,5
19,125,5
20,130,4.6
20,153,4.7
21,99,4.9
21,57,4.8
22,84,4.6
22,115,4.7
23,276,4.6
23,11,4.6
24,47,4.5
24,204,4.7
25,230,5
25,63,4.9
26,12,4.7
26,44,4.5
27,65,4.9
27,126,4.4
28,129,4.8
28,20,4.5
29,205,4.6
29,90,4.8
30,177,4.6
30,169,4.8
31,266,4.9
31,57,4.4
32,39,4.6
32,108,4.7
33,182,4.4
33,49,4.8
34,138,4.6
34,9,5
35,77,4.6
35,107,4.7
36,249,4.4
36,166,4.8
37,2,5
37,149,4.4
38,245,5
38,199,4.6
39,66,4.6
39,64,4.5
40,48,4.9
40,78,4.5
41,118,4.4
41,21,5
42,111,4.7
42,62,4.9
43,3,4.7
43,254,4.7
44,78,4.6
44,67,4.9
45,275,4.7
45,238,4.6
46,54,4.8
46,267,4.5
47,93,4.5
47,216,4.6
48,221,4.5
48,206,4.6
49,119,4.6
49,207,4.4
50,22,4.7
50,52,4
51,91,4.3
51,159,4.5
52,231,4.4
52,50,4.6
53,108,4.9
53,140,4.6
54,100,4.9
54,88,4.6
55,235,4.5
55,95,4.9
56,272,5
56,234,4.7
57,262,4.5
57,60,4
58,162,4.8
58,42,4.4
59,171,4.8
59,185,4.6
60,106,4.4
60,98,4.8
61,91,4.4
61,208,4.7
62,51,4.6
62,76,4.6
63,89,4.5
63,83,4.6
64,70,5
64,278,4.8
65,172,4.8
65,215,4.6
66,35,4.5
66,252,4.6
67,259,4.8
67,37,4.8
68,184,4.7
68,144,4.7
69,132,4.4
69,113,4.4
70,17,5
70,150,5
71,179,4
71,127,4.7
72,285,4
72,93,5
73,73,4
73,165,4.5
74,96,4.7
74,109,4.4
75,47,4.7
75,120,4.9
76,26,4.6
76,142,4.5
77,69,4.7
77,198,4.7
78,24,4.9
78,156,4.5
79,38,4.6
79,59,4.6
80,7,4.6
80,24,4
81,128,4.5
81,58,4.5
82,30,4.9
82,152,5
83,7,4
83,109,5
84,71,4.8
84,157,4.6
85,44,4.8
85,274,4.8
86,271,4.7
86,265,4.6
87,92,5
87,27,4.8
88,193,4.4
88,105,4.7
89,281,5
89,80,4.5
90,66,5
90,201,4.7
91,34,4.7
91,123,4.8
92,270,5
92,15,4.9
93,282,4.9
93,75,4
94,79,4.5
94,158,4.6
95,75,5
95,72,4.6
96,88,4.7
96,101,4.7
97,39,5
97,96,4.5
98,31,4.4
98,19,4.5
99,14,4.4
99,226,5
100,103,4.5
100,86,4.5
101,10,4.7
101,82,4.8
102,104,4.8
102,287,4.8
103,104,4.5
103,277,4.5
104,95,4.8
104,190,4.7
105,13,5
105,2,4.7
106,1,4.7
106,12,4.5
107,161,4.6
107,74,4.6
108,103,4.7
108,174,4.9
109,163,4.5
109,68,4.6
110,50,4.7
110,194,4
111,62,4.4
111,200,4.3
112,54,5
112,111,4.5
113,137,4.6
113,280,4
114,261,5
114,131,4.9
115,268,4.6
115,147,4.8
116,20,4.6
116,218,4.6
117,84,4.5
117,59,4.6
118,27,4.7
118,73,5
119,113,4.8
119,178,4.5
120,224,4.6
120,45,5
121,247,4.7
121,211,5
122,60,4
122,56,5
123,79,4.5
123,273,4.7
124,121,5
124,35,4.7
125,139,4.7
125,122,4.4
126,11,4.7
126,114,4.5
127,136,4.7
127,29,4.6
128,26,5
128,102,4.6
129,173,5
129,244,4.6
130,240,4.9
130,41,4.7
131,141,4.5
131,18,4.6
132,51,5
132,86,5
133,42,4.8
133,237,5
134,18,4.6
134,40,4.5
135,53,4
135,286,4.4
136,263,4.9
136,191,4.6
137,89,4.7
137,25,4.9
138,170,4.5
138,214,5
139,19,4.5
139,195,4.5
140,180,4.8
140,45,5
141,46,4.9
141,187,4.6
142,117,4.7
142,67,4.6
143,16,4.6
143,236,4.7
144,189,4.7
144,223,4.5
145,146,4.5
145,40,4.7
146,168,5
146,3,4.7
147,255,4.6
147,260,4.8
148,197,4.8
148,70,4.4
149,48,4.6
149,233,4.5
150,101,4.8
150,116,4.6
151,9,4.4
151,63,4.6
152,175,5
152,37,4.9
153,81,4.7
153,124,4.8
154,90,4.7
154,10,5
155,34,5
155,17,5
156,284,5
156,55,4.6
157,85,5
157,87,4.7
158,151,4.7
158,94,4.6
159,33,4.8
159,203,4.9
160,23,4.6
160,69,4.7
161,164,4.4
161,76,4.5
162,46,4.6
162,105,4.9
163,58,4.4
163,220,4.5
164,188,4.6
164,222,4.6
165,110,4.6
165,264,4.6
166,253,4.8
166,133,5
167,239,4.7
167,232,4.5
168,77,4.4
168,135,4
169,4,5
169,92,4.5
170,68,4.4
170,87,4.6
171,21,4.5
171,192,4.8
172,64,4.5
172,28,4.7
173,97,4.5
173,102,4.8
174,112,4.6
174,14,4.5
175,61,4.6
175,41,4.9
176,186,4.7
176,13,5
177,43,4.7
177,112,4.3
178,32,4.6
178,110,4.9
179,1,4.4
179,229,4.8
180,49,4.8
180,6,4.4
181,202,5
181,31,4.7
182,134,4.7
182,36,5
183,38,4.6
183,72,5
184,217,5
184,83,4.7
185,167,4.9
185,98,4.6
186,100,4.7
186,212,4.5
187,213,4.5
187,257,4.6
188,80,4.9
188,55,4
189,43,5
189,52,4.6
190,269,4.5
190,85,4.6
191,155,4.7
191,81,4.5
192,56,4.9
192,183,4.9
193,209,5
193,71,4.8
194,25,4
194,23,5
195,6,4.7
195,225,5
196,106,5
196,8,4.9
197,74,4.7
197,143,4.6
198,283,4.7
198,82,4.5
199,241,4.7
199,94,4.4
200,5,4.6
200,145,4.6
